.ai	application/postscript
.avi	video/x-msvideo
.doc	application/msword
.dot	application/msword
.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dotx	application/vnd.openxmlformats-officedocument.wordprocessingml.template
.eps	application/postscript
.gif	image/gif
.htm	text/html
.html	text/html
.jpe	image/jpeg
.jpeg	image/jpeg
.jpg	image/jpeg
.mdb	application/x-msaccess
.mid	audio/x-midi
.mov	video/quicktime
.mpe	video/mpeg
.mpeg	video/mpeg
.mpg	video/mpeg
.mpp	application/vnd.ms-project
.ods	application/vnd.oasis.opendocument.spreadsheet
.odt	application/vnd.oasis.opendocument.text
.pdf	application/pdf
.png	image/png
.pot	application/vnd.ms-powerpoint
.pps	application/vnd.ms-powerpoint
.ppt	application/vnd.ms-powerpoint
.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
.ppsx	application/vnd.openxmlformats-officedocument.presentationml.slideshow
.potx	application/vnd.openxmlformats-officedocument.presentationml.template
.ps	application/postscript
.qt	video/quicktime
.rtf	application/rtf
.sxc	application/vnd.sun.xml.calc
.sxw	application/vnd.sun.xml.writer
.tiff	image/tiff
.txt	text/plain
.ua	audio/basic
.wav	audio/x-wav
.xbm	image/xbm
.xla	application/vnd.ms-excel
.xls	application/vnd.ms-excel
.xlt	application/vnd.ms-excel
.xlw	application/vnd.ms-excel
.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xltx	application/vnd.openxmlformats-officedocument.spreadsheetml.template
.xml	text/xml
.zip	application/zip
